doc_id,Name,Gender,predictions,GT_score,Gender
1,george mihelich,male,2.9,2.9,male
2,carlos verne,male,2.65,2.65,male
3,david hutton,male,2.49,2.49,male
4,foufoune junior,female,2.38,2.38,female
5,crystal lyerla,female,2.04,2.04,female
6,louisette jean,female,2.03,2.03,female
8,noel lopez,male,1.86,1.86,male
7,eva downs,female,1.93,1.93,female
11,mark ramsey,male,1.66,1.66,male
15,dino salerno,male,1.47,1.47,male
16,justin mccarthy,male,1.41,1.41,male
9,jamye brown,female,1.73,1.73,female
21,timothy baldwin,male,1.16,1.16,male
22,joseph mckinley,male,1.14,1.14,male
10,naita james,female,1.68,1.68,female
30,tavarus levine,male,0.64,0.64,male
32,oscar alayo,male,0.53,0.53,male
12,kathy floris,female,1.55,1.55,female
33,lucas freire,male,0.4,0.4,male
34,alan mullins,male,0.39,0.39,male
36,jonathan ospina,male,0.33,0.33,male
13,syreta moye,female,1.54,1.54,female
37,charles cocuzza,male,0.31,0.31,male
39,shaun mckinley,male,0.15,0.15,male
14,carolyn weaver,female,1.52,1.52,female
40,jonathan graulich,male,0.07,0.07,male
41,deandre chambers,male,-0.05,-0.05,male
17,joseph hepburn,female,1.4,1.4,female
42,james wickman,male,-0.09,-0.09,male
44,aaron gilliam,male,-0.13,-0.13,male
46,thomas papacosmas,male,-0.28,-0.28,male
18,brandi lopez,female,1.39,1.39,female
47,frank carvalho,male,-0.29,-0.29,male
48,terry cyrus,male,-0.34,-0.34,male
19,candace oneal,female,1.39,1.39,female
49,tariq smith,male,-0.4,-0.4,male
50,eclaire salomon,male,-0.51,-0.51,male
20,natalie roldan,female,1.25,1.25,female
23,todd livingston,female,1.13,1.13,female
24,stephanie harvey,female,1.12,1.12,female
25,britney vincent,female,0.99,0.99,female
26,jodie sena,female,0.94,0.94,female
27,briana adhemar,female,0.82,0.82,female
28,caitlin watts,female,0.76,0.76,female
29,lori porzio,female,0.65,0.65,female
31,lisa flowers,female,0.57,0.57,female
35,christina benemerito,female,0.39,0.39,female
38,lisa scott,female,0.17,0.17,female
43,michelle micoff,female,-0.11,-0.11,female
45,mindy morris,female,-0.14,-0.14,female
