q_id,doc_id,Gender,Name,NumSeasons,AvgPER,CareerPoints,BTN,NMSOR,GAPI,gemini-2.0-flash-thinking-exp-01-21
1,1,male,Carmelo Anthony,16,21.02,26126,male,female,male,male
1,2,male,Johnny Dawkins,9,15.27,5984,male,female,male,male
1,3,female,Sheryl Swoopes,12,22.12,4875,female,female,female,female
1,4,male,Don Buse,9,12.56,4485,male,female,male,male
1,5,female,Crystal Langhorne,13,16.18,4433,female,female,female,female
1,6,male,Kwame Brown,14,11.38,4219,male,female,male,male
1,7,male,C.J. McCollum,4,14.92,4128,female,female,male,male
1,8,male,Eduardo Najera,16,10.76,3563,male,male,male,male
1,9,male,George Trapp,6,12.92,3353,male,female,male,male
1,10,female,Briann January,14,10.74,3084,female,female,male,female
1,11,female,Odyssey Sims,9,13.78,2915,female,female,female,female
1,12,female,Damiris Dantas,8,12.85,1550,female,female,female,female
1,13,female,Eva Nemcova,5,15.24,1304,female,female,female,female
1,14,male,Travis Knight,7,9.21,1276,male,female,male,male
1,15,female,Teresa Weatherspoon,8,12.72,1264,female,female,female,female
1,16,female,Jessica Davenport,6,16.77,1148,female,female,female,female
1,17,female,Sylvia Crawley,4,12.53,1050,female,female,female,female
1,18,female,Janice Braxton,3,18.13,733,female,female,female,female
1,19,male,Michael Wiley,2,18.0,692,male,female,male,male
1,20,female,Jessica Moore,7,6.46,633,female,female,female,female
1,21,female,Kristin Haynie,5,10.22,555,female,female,female,female
1,22,female,Cindy Brown,2,16.5,532,female,female,female,female
1,23,male,Jaylen Brown,1,10.3,515,female,female,female,male
1,24,male,Lester Hudson,8,11.4,500,male,male,male,male
1,25,female,Sonja Henning,5,8.0,490,female,female,female,female
1,26,male,Cristiano Felicio,2,16.4,421,male,female,male,male
1,27,female,Katie Gearlds,3,12.5,385,female,female,female,female
1,28,male,Kyle Weaver,3,10.73,363,male,female,male,male
1,29,female,Coretta Brown,4,9.78,344,female,female,female,female
1,30,male,Paul Long,3,17.3,274,male,male,male,male
1,31,female,Ewelina Kobryn,3,7.47,215,female,female,female,female
1,32,female,Yelena Leuchanka,4,7.2,207,female,female,female,female
1,33,female,Nikolina Milic,1,17.8,185,female,female,female,female
1,34,male,Howard Wood,1,12.0,144,male,male,male,male
1,35,female,Cierra Burdick,4,10.5,96,female,female,female,female
1,36,male,Josh Selby,2,1.7,83,male,male,male,male
1,37,male,Ron Horn,2,-0.15,77,male,male,male,male
1,38,male,Bob Williams,2,9.5,70,male,male,male,male
1,39,male,Adam Harrington,3,6.4,60,male,male,male,male
1,40,male,Anthony Grundy,1,16.6,52,male,female,male,male
1,41,female,Alexis Prince,3,26.07,50,female,female,male,female
1,42,female,Carla Thomas,1,11.7,43,female,female,female,female
1,43,male,Desmond Penigar,1,12.9,32,male,female,male,male
1,44,female,Kamiah Smalls,2,8.85,31,female,female,female,female
1,45,female,Nadine Domond,1,8.5,27,female,female,female,female
1,46,male,John Pinone,1,7.8,20,male,male,male,male
1,47,female,Stephanie Watts,1,2.4,15,female,female,female,female
1,48,male,Mike O'Neill,1,4.6,12,male,female,male,male
1,49,male,Chad Gallagher,1,66.8,6,male,male,male,male
1,50,male,Ed Earle,1,15.0,4,male,male,male,male
