doc_id,D,name,sex,Points,CareerPoints
1,1,Oscar Robertson*,male,26710,26710
4,4,Sidney Moncrief,female,11931,11931
20,20,Jessica Davenport,female,1148,1148
25,25,Krystal Thomas,female,636,636
5,5,Ron Brewer,male,9578,9578
11,11,Brian Skinner,female,3300,3300
14,14,Freddie Crawford,female,2858,2858
2,2,Nick Van,male,13980,13980
3,3,Bill Cartwright,male,12713,12713
7,7,Seimone Augustus,female,6005,6005
10,10,Kwame Brown,female,4219,4219
16,16,Jake Tsakalidis,female,1581,1581
18,18,Teaira McCowan,female,1304,1304
21,21,Cole Aldrich,female,1138,1138
22,22,Nate Hawthorne,female,882,882
23,23,Janice Braxton,female,733,733
26,26,Pamela McGee,female,488,488
28,28,Teresa Edwards,female,375,375
29,29,Laura Harper,female,338,338
30,30,Craig Shelton,female,240,240
31,31,Megan Walker,female,229,229
32,32,Ewelina Kobryn,female,215,215
33,33,Ashley Shields,female,161,161
6,6,Kyrie Irving,female,8232,8232
8,8,Gordan Giricek,male,5757,5757
9,9,Charles Johnson,female,4764,4764
12,12,Al Butler,female,3109,3109
13,13,Norris Cole,female,3079,3079
15,15,Predrag Drobnjak,male,2187,2187
17,17,LaToya Thomas,female,1390,1390
19,19,Erin Perperoglou,female,1232,1232
24,24,Jessie Hicks,female,705,705
27,27,Nadine Malcolm,female,413,413
34,34,Vedrana Grgin-Fonseca,female,151,151
35,35,Kasha Terry,female,117,117
36,36,Milena Flores,female,112,112
37,37,Sandra Van Embricqs,female,94,94
38,38,Kathrin Ress,female,85,85
39,39,Mikiah Herbert Harrigan,female,79,79
40,40,D.J. Strawberry,female,73,73
41,41,David Pope,female,62,62
42,42,John Fairchild,male,60,60
43,43,Grady O'Malley,female,50,50
44,44,Candace Futrell,female,42,42
45,45,Stanley Brundy,male,37,37
46,46,Zeke Sinicola,female,13,13
47,47,Zuzana Zirkova,female,11,11
48,48,Rennia Davis,female,10,10
49,49,Patrick Christopher,male,6,6
50,50,Chandra Johnson,female,6,6
