doc_id,D,name,Points,CareerPoints
1,1,John Havlicek*,26395,26395
3,3,Jeff Malone,18679,18679
8,8,DeWanna Bonner,6184,6184
22,22,Ukari Figgs,980,980
34,34,Chandi Jones,330,330
43,43,Naomi Mulitauaopele,99,99
15,15,Ennis Whatley,2185,2185
21,21,Katie Mattera,1000,1000
40,40,Keisha Hampton,139,139
4,4,Jo Jo,15525,15525
9,9,Dick McGuire*,4800,4800
14,14,Ed Fleming,2511,2511
23,23,Walter Bond,980,980
28,28,Andrew Harrison,425,425
37,37,Kristy Wallace,190,190
44,44,Keith Tower,98,98
16,16,John Crotty,2062,2062
30,30,Vincent Yarbrough,406,406
41,41,Charli Collier,130,130
13,13,Eduardo Najera,3563,3563
24,24,Alex Montgomery,902,902
29,29,Te'a Cooper,420,420
38,38,Ashley Shields,161,161
47,47,Aisha Sheppard,35,35
20,20,Eva Nemcova,1304,1304
31,31,Andre McCarter,392,392
45,45,Liz Moeggenberg,95,95
12,12,Allie Quigley,3786,3786
19,19,Bridget Pettis,1408,1408
26,26,Harold Ellis,840,840
33,33,Laura Harper,338,338
42,42,Phil Hankinson,122,122
36,36,Armon Johnson,204,204
50,50,Rennia Davis,10,10
6,6,Eddie House,6226,6226
11,11,Chasity Melvin,3814,3814
18,18,Steve Harris,1975,1975
25,25,Alexis Hornbuckle,866,866
32,32,William Avery,379,379
39,39,Naz Hillmon,150,150
48,48,Larry Moffett,16,16
2,2,Jason Terry,18715,18715
7,7,Enes Kanter,6194,6194
17,17,Coco Miller,2032,2032
27,27,Nia Coffey,741,741
49,49,Kevin Thompson,13,13
35,35,Kostas Papanikolaou,249,249
46,46,Mfon Udoka,80,80
5,5,Sidney Moncrief,11931,11931
10,10,Skylar Diggins-Smith,4217,4217
