doc_id,Name,Gender,predictions,GT_score,Gender
98,Spencer Haywood*,male,16013,16013,male
118,Paul Arizin*,male,15145,15145,male
544,Lisa Leslie,female,6263,6263,female
943,Andrea Stinson,female,3351,3351,female
201,Jamal Mashburn,male,12466,12466,male
1131,Stefanie Dolson,female,2501,2501,female
1145,Kelsey Mitchell,female,2428,2428,female
313,Norm Van,male,9675,9675,male
1449,Erin Phillips,female,1454,1454,female
1731,Kym Hampton,female,840,840,female
1744,Jamierra Faulkner,female,814,814,female
418,Danilo Gallinari,male,8023,8023,male
1854,Chennedy Carter,female,648,648,female
1929,Tynesha Lewis,female,568,568,female
490,George Hill,male,7039,7039,male
2026,Coquese Washington,female,464,464,female
2045,Crystal Kelly,female,451,451,female
519,Steve Hawes,male,6653,6653,male
2061,Gwen Jackson,female,437,437,female
2096,Helen Luz,female,410,410,female
2172,Ayana Walker,female,353,353,female
846,Rick Roberson,male,3826,3826,male
2174,Crystal Smith,female,351,351,female
2296,Rashanda McCants,female,275,275,female
957,Matt Bullard,male,3270,3270,male
2623,Marianna Tolo,female,137,137,female
2663,Franthea Price,female,127,127,female
1196,Joey Graham,male,2239,2239,male
2723,Megan Mahoney,female,107,107,female
2880,Lenae Williams,female,73,73,female
3211,Kierstan Bell,female,27,27,female
1253,Tom Tolbert,male,2030,2030,male
3284,Katryna Gaither,female,20,20,female
3475,Miranda Ayim,female,8,8,female
1273,Austin Daye,male,1964,1964,male
3483,Romana Hamzova,female,7,7,female
3521,Victoria Macaulay,female,6,6,female
1510,Tim Kempton,male,1302,1302,male
1546,Seth Curry,male,1203,1203,male
1640,Lonny Baxter,male,1006,1006,male
1641,Nick Jones,male,1003,1003,male
1955,Sam Jacobson,male,538,538,male
2119,Brad Branson,male,391,391,male
2347,Todd Mitchell,male,246,246,male
2388,Jose Slaughter,male,225,225,male
2834,Jackie Robinson,male,83,83,male
2867,Steve Hamer,male,76,76,male
2900,Luis Flores,male,70,70,male
3407,Myron Jackson,male,11,11,male
3716,Ryneldi Becenti,male,0,0,male
