Run,Kendall Tau,NDKL,Average Exposure
0,1.0,0.26750157715036876,0.7065469100079264
1,1.0,0.22883342587032943,0.6997531740796055
2,0.6816326530612244,0.45712135563864764,0.5986531177645532
3,0.5804081632653061,0.4045489356711954,0.6090439993222575
4,0.5738775510204082,0.4696851656289844,0.592499290024584
5,1.0,0.22257243641935573,0.6925174703416438
6,1.0,0.2277162247489769,0.7128547143783377
7,1.0,0.20586183250355708,0.7258494045629491
8,1.0,0.15700168420260957,0.7733624006956661
9,1.0,0.2097132368937223,0.7130725935717284
