Run,Kendall Tau,NDKL,Average Exposure
0,0.9722448979591837,0.17433111905999732,0.7521378148309781
1,0.996734693877551,0.18538165444655658,0.7254824051396648
2,0.926530612244898,0.16118069047707237,0.750994981449666
3,0.7877551020408163,0.10334287619431912,0.8495657813613251
4,0.7126530612244898,0.09368641129513916,0.874256295340091
5,0.7877551020408163,0.1675561958422244,0.7467285372092602
6,0.8057142857142857,0.13610229715142996,0.7774744273140938
7,0.9314285714285714,0.13783300169934926,0.7935429274310336
8,0.8351020408163266,0.18066342992696002,0.7474974483953151
9,0.8416326530612245,0.1061216089548532,0.7944120039311445
