Run,Kendall Tau,NDKL,Average Exposure
0,0.9542857142857143,0.13500179438062984,0.7930667533562861
1,0.4514285714285714,0.2001929766295651,0.7710489693284677
2,0.9738775510204082,0.1633530091101693,0.7495798147650444
3,0.9755102040816327,0.11476471215700278,0.8232439437821835
4,0.3763265306122449,0.060186901581028684,0.9706331253661753
5,0.9395918367346939,0.15480011487974407,0.7555691753887387
6,0.7828571428571428,0.11804386560085839,0.8124594505340315
7,0.9673469387755103,0.13410629624139947,0.7867588831292663
8,0.6881632653061225,0.11272009573737983,0.8395315976278279
9,0.4514285714285714,0.07802606309753347,0.8470621732841603
