Run,Kendall Tau,NDKL,Average Exposure
0,0.6555102040816326,0.11009017369809164,0.9777301759748832
1,0.6620408163265306,0.06260115830972779,0.9778654693207854
2,0.41551020408163264,0.14759706445837614,1.0224568321916427
3,0.7681632653061224,0.1036995270539038,0.8696842867301788
4,0.4873469387755102,0.15847698928208515,1.20628069160725
5,0.26040816326530614,0.14504649201938843,1.11926229968658
6,0.6979591836734694,0.06205720239528551,1.0013850894938476
7,0.7534693877551021,0.1076023639701845,0.862013338841847
8,0.5330612244897959,0.11993396571817715,1.1289213500247608
9,0.4661224489795918,0.08256734216787698,0.9643474931873669
