Run,Kendall Tau,NDKL,Average Exposure
0,0.846530612244898,0.2527791791477998,0.7192452351841049
1,0.9085714285714286,0.1276655101895264,0.7811023133905542
2,0.44979591836734695,0.09341253460293852,0.9051687119689497
3,0.9853061224489796,0.23146653737292544,0.7176199355928238
4,1.0,0.17701815404678106,0.7696871210348054
5,0.5444897959183673,0.30514402609845515,0.6812950046156262
6,0.42857142857142855,0.1188812358935764,0.801060996428449
7,1.0,0.20586183250355708,0.7258494045629491
8,0.4514285714285714,0.13141689639325904,0.8717007178222601
9,0.9951020408163266,0.2097132368937223,0.7130725935717284
