Run,Kendall Tau,NDKL,Average Exposure
0,0.7485714285714286,0.17816674233396895,0.7621115511155447
1,0.5510204081632653,0.14651328040432926,0.7790307220372058
2,0.9673469387755103,0.28912699167099876,0.6761714633540845
3,0.5510204081632653,0.09212042252517857,0.8853450285345197
4,0.5510204081632653,0.23505835435059774,0.6965654758410623
5,0.5510204081632653,0.19845564791031586,0.7417925717111168
6,1.0,0.2363794837352596,0.7130519853089241
7,0.5510204081632653,0.25183697770181585,0.6850563648615067
8,0.5510204081632653,0.1214556239246679,0.8695200406046
9,0.9885714285714285,0.24439303493870582,0.7167999578925038
