Run,Kendall Tau,NDKL,Average Exposure
0,0.8269387755102041,0.19685893020867395,0.7534137559010173
1,0.9281632653061225,0.13632665827492518,0.7854336980752239
2,1.0,0.28914018897082827,0.6755437405042879
3,0.9281632653061225,0.12210592102982958,0.7990093427752093
4,0.923265306122449,0.32131507802335435,0.6640782836101499
5,0.6751020408163265,0.09846855912246999,0.910326154800864
6,0.9395918367346939,0.08260522823495657,0.9065403743580395
7,1.0,0.27568027928358335,0.6764795692113676
8,0.9102040816326531,0.1516311259821927,1.2292846885321294
9,0.5542857142857143,0.15740533816278626,0.7986767551206099
