Run,Kendall Tau,NDKL,Average Exposure
0,0.446530612244898,0.133100747073334,1.027955484279299
1,0.9248979591836735,0.16842386521970848,0.7439447864973172
2,0.4906122448979592,0.1995279766884872,0.8185587041056059
3,0.6685714285714286,0.1424881612886905,0.8380883025322313
4,0.6620408163265306,0.13011486631254388,0.8996437840742522
5,0.9575510204081633,0.16988341833949527,0.8250413467963699
6,0.9918367346938776,0.12290604625877165,0.7833350229393926
7,0.673469387755102,0.12347753697781183,0.8466528703489248
8,0.7616326530612245,0.11630592203754624,0.8544752832913709
9,0.43020408163265306,0.12741345505655918,0.8657647964067431
