Run,Kendall Tau,NDKL,Average Exposure
0,0.9885714285714285,0.1686427212411375,0.7555434539343621
1,0.9085714285714286,0.18581280479737644,0.7321561500772452
2,0.9395918367346939,0.14301553121646687,0.7751545092318716
3,0.913469387755102,0.11270614163112834,0.818488770709085
4,0.986938775510204,0.11598749530277652,0.8109037194298512
5,1.0,0.22257243641935573,0.6925174703416438
6,0.47591836734693876,0.1255638288735596,0.7852985086010488
7,1.0,0.20586183250355708,0.7258494045629491
8,0.9151020408163265,0.2363755273953878,0.7176661620825381
9,0.8514285714285714,0.14787487170352803,0.7824645439850666
