Run,Kendall Tau,NDKL,Average Exposure
0,0.5461224489795918,0.10172313641933951,0.949635733879195
1,0.7648979591836734,0.10344821033171724,0.8264311390924305
2,0.6359183673469387,0.10732723681870067,0.9715095593104804
3,0.5673469387755102,0.09614339785649911,0.9201952440514223
4,0.996734693877551,0.19180085415087747,0.7238120974474751
5,0.6408163265306123,0.10347874817847576,0.8897474432295496
6,0.769795918367347,0.05727869352456925,0.9178096536326554
7,0.7371428571428571,0.09921781636089119,0.8549442651966123
8,0.6506122448979592,0.10401640640271527,0.9120838830638772
9,0.7224489795918367,0.10040163771680634,0.8713289737341773
