Run,Kendall Tau,NDKL,Average Exposure
0,0.5575510204081633,0.06277083341992062,1.010781823054561
1,0.4922448979591837,0.10157142876052237,0.9547140901667147
2,0.6391836734693878,0.11652396280866283,0.8740177249489091
3,0.8138775510204082,0.12096250333293182,0.7853105278166765
4,0.9510204081632653,0.3676874043211563,0.6297936220601407
5,0.46938775510204084,0.10559791928895007,0.9574450835899928
6,0.5575510204081633,0.12339213659735582,0.8775849171838281
7,0.48244897959183675,0.1060489423969243,0.9674746456994175
8,0.7795918367346939,0.09941665063857122,0.8495607534440881
9,0.6816326530612244,0.14684125732470915,0.811590771141325
