Run,Kendall Tau,NDKL,Average Exposure
0,0.5183673469387755,0.10603656491410847,0.9681274278073948
1,0.5673469387755102,0.13252376201758775,0.8743368079971146
2,0.6310204081632653,0.10525357663403154,0.9342067174493532
3,0.5657142857142857,0.09595855732750566,0.9004498637702597
4,0.5183673469387755,0.10500164109667406,0.9335223907462976
5,0.4220408163265306,0.11453816022933495,0.9871536397333406
6,0.5722448979591837,0.09502381225699816,0.9213629384361242
7,0.43183673469387757,0.19399677144239044,0.7689277863430213
8,0.5395918367346939,0.11073579977773597,0.9761294553565373
9,0.7012244897959183,0.14245064747714326,0.8176444327735309
