Run,Kendall Tau,NDKL,Average Exposure
0,0.7077551020408164,0.05740765571639686,0.9244784444360341
1,0.6751020408163265,0.09814070029689902,0.8652114966361971
2,0.8171428571428572,0.057550941281873616,0.9274413883008489
3,0.830204081632653,0.07959893831701315,0.8345965357628584
4,0.7289795918367347,0.06569783526559081,0.8807672817111813
5,0.7028571428571428,0.05763416770678281,0.929807852244349
6,0.769795918367347,0.05969567888825893,0.899687091624369
7,0.7828571428571428,0.05903175558305136,0.9013483579924351
8,0.7436734693877551,0.05743908940574819,0.9232571806268989
9,0.7910204081632654,0.06625582740388992,0.988869594919078
