Run,Kendall Tau,NDKL,Average Exposure
0,0.9216326530612244,0.3227954939567701,0.6610600183965518
1,0.9771428571428571,0.25523470992730063,0.67831539298542
2,0.916734693877551,0.26542855136719234,0.7135498935000024
3,0.7812244897959184,0.1851070021862115,0.7294535216076516
4,1.0,0.22084378677978664,0.6981322846075013
5,0.5232653061224489,0.15549237558119827,0.7703010010826677
6,1.0,0.23403025941809055,0.6923817010367536
7,0.8481632653061224,0.1766206694769104,0.7344313887751235
8,0.9216326530612244,0.22202862420634004,0.7128827340040779
9,1.0,0.25103539416651566,0.6908946749169322
