Run,Kendall Tau,NDKL,Average Exposure
0,0.7551020408163265,0.15534062030745222,0.8464818206623596
1,0.9069387755102041,0.10548714129893115,0.8346170546475774
2,0.6783673469387755,0.14514099659013316,0.8431317569366629
3,0.673469387755102,0.16143703297629605,0.902168905778169
4,0.6359183673469387,0.17776178179669616,0.8158367272712198
5,0.6946938775510204,0.15840717505356833,0.8000914687345092
6,0.7828571428571428,0.1980273981918665,0.7916425899552831
7,0.683265306122449,0.1743266757886319,0.8091662439683037
8,0.8710204081632653,0.10435230351716657,0.9426113192704849
9,0.6751020408163265,0.09731113849818403,0.9400490254352228
