Run,Kendall Tau,NDKL,Average Exposure
0,0.9722448979591837,0.22150942491641398,0.7312894268760822
1,0.7338775510204082,0.17085517010317947,0.802087059061181
2,0.603265306122449,0.15727620662403152,0.8053068735179288
3,0.7061224489795919,0.14658588398983696,0.8254259381883006
4,0.37142857142857144,0.1897341163503602,0.8609117835556833
5,0.6261224489795918,0.2006230736902305,0.7666509378253289
6,0.4710204081632653,0.16621781467476826,0.9017260000736744
7,0.4595918367346939,0.16815203986446883,0.8656814430256591
8,0.8220408163265306,0.07504247896208316,0.9576355871450054
9,0.6636734693877551,0.08901992622642145,0.8919535168198427
