Run,Kendall Tau,NDKL,Average Exposure
0,0.6669387755102041,0.11145495931774387,0.9817924107528442
1,0.6506122448979592,0.11372143216555013,0.9846818747507781
2,0.5967346938775511,0.10732723681870067,0.9715095593104804
3,0.6130612244897959,0.12053992826750827,1.001029525120143
4,0.5281632653061225,0.10713125106173951,0.9711331090069324
5,0.5820408163265306,0.10641397763845338,0.962932247078227
6,0.6261224489795918,0.11145495931774387,0.9817924107528442
7,0.5183673469387755,0.1143946188725205,0.9853347424203136
8,0.8187755102040817,0.1135985429918298,0.9856972483962559
9,0.6946938775510204,0.10732723681870067,0.9715095593104804
