Run,Kendall Tau,NDKL,Average Exposure
0,0.6555102040816326,0.10236564764227078,0.9494668721162456
1,0.7142857142857143,0.139233769637294,0.893225880445405
2,0.6408163265306123,0.1381628188532854,0.8904966900245893
3,0.6244897959183674,0.11137441204946735,0.9797108307288879
4,0.5820408163265306,0.1782928911991511,0.8257947144770752
5,0.593469387755102,0.09776231367305636,0.9062102549649416
6,0.5951020408163266,0.10794368194022273,0.9717773053329634
7,0.6130612244897959,0.13632370876116018,0.8833507926176093
8,0.8040816326530612,0.11122260216523336,0.9790138838793278
9,0.6228571428571429,0.11421442011602154,0.9894615896440069
