Run,Kendall Tau,NDKL,Average Exposure
0,0.6457142857142857,0.11570053063813145,0.9890432686726506
1,0.8889795918367347,0.05727869352456925,0.9178096536326554
2,0.5575510204081633,0.11654852636352112,0.9906954566392437
3,0.6326530612244898,0.11450062437876692,0.9871179326315014
4,0.5085714285714286,0.11450062437876692,0.9871179326315014
5,0.5314285714285715,0.11450062437876692,0.9871179326315014
6,0.5918367346938775,0.11450062437876692,0.9871179326315014
7,0.52,0.11450062437876692,0.9871179326315014
8,0.8122448979591836,0.11488070870794247,0.9877462848455079
9,0.6636734693877551,0.11450062437876692,0.9871179326315014
