Run,Kendall Tau,NDKL,Average Exposure
0,0.8040816326530612,0.2151215467901479,0.7437915775648923
1,0.9885714285714285,0.18977798307692623,0.7427414269753871
2,0.8579591836734693,0.2674519870254607,0.699328809899591
3,0.9151020408163265,0.20186231433237037,0.7396446103940829
4,0.5738775510204082,0.17715042384953342,0.7439469727321512
5,0.916734693877551,0.28816577222985257,0.6791429172602018
6,0.7289795918367347,0.14984247172386764,0.760123999499255
7,0.9853061224489796,0.28382164518862807,0.673876251994623
8,0.996734693877551,0.1360092942336759,0.8394448237276876
9,0.6359183673469387,0.22356177306939085,0.7256941787768241
