Run,Kendall Tau,NDKL,Average Exposure
0,0.7942857142857143,0.14880070971557152,0.7670221767406837
1,0.9836734693877551,0.09773875045832595,0.845146446054095
2,0.9461224489795919,0.11117799813043089,0.857234979653174
3,0.9934693877551021,0.15175211530414115,0.7602050007351588
4,0.9820408163265306,0.21459073911789897,0.7049431843686281
5,0.9820408163265306,0.30786977012909805,0.6649714512241548
6,0.9820408163265306,0.1265733196055568,0.7906183422112749
7,1.0,0.27568027928358335,0.6764795692113676
8,0.9787755102040816,0.06875637372811542,0.9670950860049105
9,0.769795918367347,0.11691998567554493,0.8103595881311064
