Run,Kendall Tau,NDKL,Average Exposure
0,0.990204081632653,0.1614047485466893,0.7594739873569808
1,0.856326530612245,0.10611829816892919,0.8341797573514672
2,0.7387755102040816,0.14184379236735958,0.7841915057869964
3,0.9591836734693877,0.12116410695373908,0.8072903427503787
4,0.9640816326530612,0.1690089042585716,0.7466595642675191
5,0.8546938775510204,0.14853228159469084,0.7743790418320168
6,0.9820408163265306,0.1265733196055568,0.7906183422112749
7,0.990204081632653,0.18496278927939683,0.7209888481370841
8,0.9085714285714286,0.06615925717851528,0.9661032019864217
9,0.9804081632653061,0.13069855982823114,0.7977437602608298
